14:15:56,360 ,2983.75 ,2748.21 ,2945.60 ,2957.24
14:15:57,364 ,2983.80 ,2748.16 ,2945.57 ,2957.25
14:15:57,368 ,2983.81 ,2748.27 ,2945.53 ,2957.30
14:15:57,372 ,2983.80 ,2748.30 ,2945.62 ,2957.28
14:15:57,376 ,2983.83 ,2748.29 ,2945.67 ,2957.30
14:15:57,380 ,2983.89 ,2748.30 ,2945.71 ,2957.42
14:15:57,384 ,2983.90 ,2748.39 ,2945.77 ,2957.43
14:15:58,388 ,2983.93 ,2748.45 ,2945.78 ,2957.42
14:15:58,392 ,2983.95 ,2748.50 ,2945.87 ,2957.41
14:15:58,396 ,2983.99 ,2748.48 ,2945.85 ,2957.55
14:15:58,400 ,2984.08 ,2748.55 ,2945.85 ,2957.55
14:15:59,0 ,2980.94 ,2745.13 ,2942.16 ,2953.65
14:15:59,4 ,2980.10 ,2744.69 ,2941.93 ,2953.57
14:16:00,8 ,2980.03 ,2744.63 ,2941.95 ,2953.64
14:16:00,12 ,2980.07 ,2744.86 ,2942.06 ,2953.78
14:16:00,16 ,2980.35 ,2745.00 ,2942.21 ,2953.84
14:16:00,20 ,2980.35 ,2745.02 ,2942.30 ,2953.95
14:16:00,24 ,2980.43 ,2745.11 ,2942.38 ,2954.08
14:16:00,28 ,2980.53 ,2745.20 ,2942.55 ,2954.07
14:16:01,32 ,2980.58 ,2745.30 ,2942.45 ,2954.11
14:16:01,36 ,2980.59 ,2745.40 ,2942.59 ,2954.22
14:16:01,40 ,2980.74 ,2745.35 ,2942.63 ,2954.18
14:16:01,44 ,2980.81 ,2745.43 ,2942.63 ,2954.33
14:16:01,48 ,2980.84 ,2745.50 ,2942.77 ,2954.32
14:16:01,52 ,2980.83 ,2745.52 ,2942.74 ,2954.36
14:16:02,56 ,2980.86 ,2745.55 ,2942.79 ,2954.42
14:16:02,60 ,2980.96 ,2745.62 ,2942.86 ,2954.50
14:16:02,64 ,2981.01 ,2745.61 ,2942.82 ,2954.53
14:16:02,68 ,2981.03 ,2745.68 ,2942.92 ,2954.60
14:16:02,72 ,2981.04 ,2745.73 ,2943.01 ,2954.56
