16:23:47,400 ,2927.60 ,2694.83 ,2890.49 ,2901.09
16:23:48,0 ,2924.87 ,2691.79 ,2887.29 ,2897.82
16:23:48,4 ,2924.30 ,2691.69 ,2887.28 ,2897.91
16:23:48,8 ,2924.43 ,2691.95 ,2887.46 ,2898.04
16:23:49,12 ,2924.60 ,2692.03 ,2887.63 ,2898.23
16:23:49,16 ,2924.81 ,2692.22 ,2887.80 ,2898.42
16:23:49,20 ,2924.88 ,2692.33 ,2887.84 ,2898.44
16:23:49,24 ,2924.99 ,2692.42 ,2887.96 ,2898.61
16:23:49,28 ,2925.08 ,2692.46 ,2888.02 ,2898.62
16:23:49,32 ,2925.14 ,2692.48 ,2888.11 ,2898.74
16:23:50,36 ,2925.24 ,2692.61 ,2888.17 ,2898.77
16:23:50,40 ,2925.27 ,2692.70 ,2888.26 ,2898.89
16:23:50,44 ,2925.32 ,2692.64 ,2888.36 ,2898.92
16:23:50,48 ,2925.41 ,2692.73 ,2888.41 ,2898.98
16:23:50,52 ,2925.42 ,2692.83 ,2888.40 ,2899.01
16:23:50,56 ,2925.50 ,2692.83 ,2888.40 ,2898.99
16:23:51,60 ,2925.45 ,2692.86 ,2888.46 ,2899.11
16:23:51,64 ,2925.51 ,2693.01 ,2888.51 ,2899.08
16:23:51,68 ,2925.59 ,2692.95 ,2888.52 ,2899.14
16:23:51,72 ,2925.64 ,2693.01 ,2888.51 ,2899.18
16:23:51,76 ,2925.68 ,2693.02 ,2888.56 ,2899.27
16:23:51,80 ,2925.71 ,2693.08 ,2888.60 ,2899.28
16:23:52,84 ,2925.76 ,2693.12 ,2888.66 ,2899.30
16:23:52,88 ,2925.78 ,2693.19 ,2888.74 ,2899.35
16:23:52,92 ,2925.83 ,2693.14 ,2888.78 ,2899.36
16:23:52,96 ,2925.88 ,2693.20 ,2888.75 ,2899.39
16:23:52,100 ,2925.88 ,2693.20 ,2888.82 ,2899.45
16:23:52,104 ,2925.86 ,2693.26 ,2888.85 ,2899.40
16:23:53,108 ,2925.99 ,2693.30 ,2888.86 ,2899.47
16:23:53,112 ,2925.96 ,2693.29 ,2888.90 ,2899.47
16:23:53,116 ,2926.07 ,2693.35 ,2888.90 ,2899.52
16:23:53,120 ,2926.04 ,2693.31 ,2888.93 ,2899.56
16:23:53,124 ,2926.06 ,2693.37 ,2888.99 ,2899.53
16:23:53,128 ,2926.09 ,2693.37 ,2888.98 ,2899.63
16:23:54,132 ,2926.14 ,2693.40 ,2889.02 ,2899.70
16:23:54,136 ,2926.13 ,2693.47 ,2889.08 ,2899.72
16:23:54,140 ,2926.13 ,2693.55 ,2889.11 ,2899.66
16:23:54,144 ,2926.20 ,2693.55 ,2889.14 ,2899.77
16:23:54,148 ,2926.17 ,2693.53 ,2889.15 ,2899.81
16:23:54,152 ,2926.24 ,2693.56 ,2889.18 ,2899.80
16:23:55,156 ,2926.29 ,2693.65 ,2889.21 ,2899.76
16:23:55,160 ,2926.29 ,2693.63 ,2889.14 ,2899.46
16:23:55,M1  fault
